RFID,Antenna,DateTime,Feeder,TestRFID_DateTime,Time_diff,Corrected_DateTime,Note
01103FE7B4,2, 12/06/2021 15:30:38,Feeder05,,, 12/06/2021 15:30:38,
01103FE7B4,1, 12/06/2021 15:30:38,Feeder05,,, 12/06/2021 15:30:38,
01103FE7B4,2, 12/06/2021 15:30:39,Feeder05,,, 12/06/2021 15:30:39,
01103FE7B4,1, 12/06/2021 15:30:39,Feeder05,,, 12/06/2021 15:30:39,
01103FE7B4,2, 12/06/2021 15:30:40,Feeder05,,, 12/06/2021 15:30:40,
01103FE7B4,1, 12/06/2021 15:30:40,Feeder05,,, 12/06/2021 15:30:40,
01103FE7B4,2, 12/06/2021 15:30:40,Feeder05,,, 12/06/2021 15:30:40,
01103F651E,1, 12/06/2021 15:35:13,Feeder05,,, 12/06/2021 15:35:13,
01103F651E,2, 12/06/2021 15:35:14,Feeder05,,, 12/06/2021 15:35:14,
01103FE5AE,2, 12/06/2021 16:24:24,Feeder05,,, 12/06/2021 16:24:24,
01103FD963,1, 12/07/2021 08:55:11,Feeder05,,, 12/07/2021 08:55:11,
01103FD963,2, 12/07/2021 08:55:12,Feeder05,,, 12/07/2021 08:55:12,
01103FD963,1, 12/07/2021 08:55:12,Feeder05,,, 12/07/2021 08:55:12,
011016DE2E,2, 12/07/2021 09:54:00,Feeder05,,, 12/07/2021 09:54:00,
01103F651E,1, 12/07/2021 09:57:28,Feeder05,,, 12/07/2021 09:57:28,
01103F651E,2, 12/07/2021 09:58:11,Feeder05,,, 12/07/2021 09:58:11,
01103F651E,1, 12/07/2021 09:58:12,Feeder05,,, 12/07/2021 09:58:12,
01103F651E,2, 12/07/2021 09:58:12,Feeder05,,, 12/07/2021 09:58:12,
01103F651E,1, 12/07/2021 09:58:12,Feeder05,,, 12/07/2021 09:58:12,
01103F651E,2, 12/07/2021 09:58:13,Feeder05,,, 12/07/2021 09:58:13,
01103F651E,1, 12/07/2021 09:58:13,Feeder05,,, 12/07/2021 09:58:13,
01103F651E,2, 12/07/2021 09:58:14,Feeder05,,, 12/07/2021 09:58:14,
