RFID,Antenna,DateTime,Feeder,TestRFID_DateTime,Time_diff,Corrected_DateTime,Note
0110170A55,1, 12/07/2021 13:39:32,Feeder10,,, 12/07/2021 13:39:32,
0110170A55,1, 12/07/2021 13:39:34,Feeder10,,, 12/07/2021 13:39:34,
0110170A55,1, 12/07/2021 13:39:36,Feeder10,,, 12/07/2021 13:39:36,
0110170A55,1, 12/07/2021 13:39:38,Feeder10,,, 12/07/2021 13:39:38,
0110170A55,1, 12/07/2021 13:41:47,Feeder10,,, 12/07/2021 13:41:47,
0110170A55,1, 12/07/2021 13:41:49,Feeder10,,, 12/07/2021 13:41:49,
0110170A55,1, 12/07/2021 14:31:44,Feeder10,,, 12/07/2021 14:31:44,
0110170A55,1, 12/07/2021 14:35:39,Feeder10,,, 12/07/2021 14:35:39,
01103FD963,1, 12/07/2021 14:40:15,Feeder10,,, 12/07/2021 14:40:15,
01103FD963,1, 12/07/2021 14:41:58,Feeder10,,, 12/07/2021 14:41:58,
01103FD963,1, 12/07/2021 14:42:00,Feeder10,,, 12/07/2021 14:42:00,
01103FD963,1, 12/07/2021 14:43:45,Feeder10,,, 12/07/2021 14:43:45,
01103FD991,1, 12/07/2021 14:52:09,Feeder10,,, 12/07/2021 14:52:09,
011016DD50,1, 12/07/2021 14:52:43,Feeder10,,, 12/07/2021 14:52:43,
0110170A55,1, 12/07/2021 14:53:13,Feeder10,,, 12/07/2021 14:53:13,
0110170A55,1, 12/07/2021 14:53:15,Feeder10,,, 12/07/2021 14:53:15,
0110170A55,1, 12/07/2021 14:53:17,Feeder10,,, 12/07/2021 14:53:17,
0110170A55,1, 12/07/2021 14:53:19,Feeder10,,, 12/07/2021 14:53:19,
0110170A55,1, 12/07/2021 14:53:21,Feeder10,,, 12/07/2021 14:53:21,
011016DD50,1, 12/07/2021 14:53:24,Feeder10,,, 12/07/2021 14:53:24,
0110170A55,1, 12/07/2021 14:54:01,Feeder10,,, 12/07/2021 14:54:01,
011016DD50,1, 12/07/2021 14:54:03,Feeder10,,, 12/07/2021 14:54:03,
011016DD50,1, 12/07/2021 14:54:05,Feeder10,,, 12/07/2021 14:54:05,
01103FD963,1, 12/07/2021 14:54:44,Feeder10,,, 12/07/2021 14:54:44,
01103FE7B4,1, 12/07/2021 14:55:20,Feeder10,,, 12/07/2021 14:55:20,
01103FD898,1, 12/07/2021 14:55:30,Feeder10,,, 12/07/2021 14:55:30,
01103FD898,1, 12/07/2021 14:55:32,Feeder10,,, 12/07/2021 14:55:32,
011016E6FD,1, 12/07/2021 14:57:52,Feeder10,,, 12/07/2021 14:57:52,
01103FD963,1, 12/07/2021 14:58:24,Feeder10,,, 12/07/2021 14:58:24,
01103FD963,1, 12/07/2021 14:58:26,Feeder10,,, 12/07/2021 14:58:26,
01103FD963,1, 12/07/2021 14:58:28,Feeder10,,, 12/07/2021 14:58:28,
01103FD963,1, 12/07/2021 14:58:30,Feeder10,,, 12/07/2021 14:58:30,
011016E6FD,1, 12/07/2021 14:58:36,Feeder10,,, 12/07/2021 14:58:36,
011016E6FD,1, 12/07/2021 14:58:38,Feeder10,,, 12/07/2021 14:58:38,
011016E6FD,1, 12/07/2021 14:58:40,Feeder10,,, 12/07/2021 14:58:40,
01103FD898,1, 12/07/2021 15:12:27,Feeder10,,, 12/07/2021 15:12:27,
01103FD898,1, 12/07/2021 15:12:31,Feeder10,,, 12/07/2021 15:12:31,
01103FD963,1, 12/07/2021 15:23:10,Feeder10,,, 12/07/2021 15:23:10,
01103FD963,1, 12/07/2021 15:25:31,Feeder10,,, 12/07/2021 15:25:31,
01103FD963,1, 12/07/2021 15:25:33,Feeder10,,, 12/07/2021 15:25:33,
01103FD963,1, 12/07/2021 15:25:35,Feeder10,,, 12/07/2021 15:25:35,
01103FD963,1, 12/07/2021 15:36:41,Feeder10,,, 12/07/2021 15:36:41,
01103FD963,1, 12/07/2021 15:40:41,Feeder10,,, 12/07/2021 15:40:41,
01103FD963,1, 12/07/2021 15:40:43,Feeder10,,, 12/07/2021 15:40:43,
01103FD963,1, 12/07/2021 15:40:51,Feeder10,,, 12/07/2021 15:40:51,
01103FD963,1, 12/07/2021 15:57:41,Feeder10,,, 12/07/2021 15:57:41,
01103FD963,1, 12/07/2021 15:57:43,Feeder10,,, 12/07/2021 15:57:43,
01103FD963,1, 12/07/2021 16:08:01,Feeder10,,, 12/07/2021 16:08:01,
01103FD963,1, 12/07/2021 16:08:03,Feeder10,,, 12/07/2021 16:08:03,
01103FD963,1, 12/07/2021 16:08:08,Feeder10,,, 12/07/2021 16:08:08,
01103FD963,1, 12/07/2021 16:08:10,Feeder10,,, 12/07/2021 16:08:10,
01103FD963,1, 12/07/2021 16:08:12,Feeder10,,, 12/07/2021 16:08:12,
01103FD963,1, 12/07/2021 16:08:15,Feeder10,,, 12/07/2021 16:08:15,
01103FD991,1, 12/08/2021 08:24:14,Feeder10,,, 12/08/2021 08:24:14,
01103FD991,1, 12/08/2021 08:26:05,Feeder10,,, 12/08/2021 08:26:05,
01103FD991,1, 12/08/2021 08:26:07,Feeder10,,, 12/08/2021 08:26:07,
01103FD991,1, 12/08/2021 08:26:51,Feeder10,,, 12/08/2021 08:26:51,
01103FD991,1, 12/08/2021 08:28:54,Feeder10,,, 12/08/2021 08:28:54,
01103FD991,1, 12/08/2021 08:42:34,Feeder10,,, 12/08/2021 08:42:34,
01103FD963,1, 12/08/2021 10:01:51,Feeder10,,, 12/08/2021 10:01:51,
01103FD963,1, 12/08/2021 10:01:53,Feeder10,,, 12/08/2021 10:01:53,
01103FD963,1, 12/08/2021 10:01:55,Feeder10,,, 12/08/2021 10:01:55,
01103FD963,1, 12/08/2021 10:04:14,Feeder10,,, 12/08/2021 10:04:14,
01103FD963,1, 12/08/2021 10:04:16,Feeder10,,, 12/08/2021 10:04:16,
01103FD963,1, 12/08/2021 10:04:18,Feeder10,,, 12/08/2021 10:04:18,
01103FD963,1, 12/08/2021 10:07:21,Feeder10,,, 12/08/2021 10:07:21,
01103FD963,1, 12/08/2021 10:07:23,Feeder10,,, 12/08/2021 10:07:23,
01103FD963,1, 12/08/2021 10:07:25,Feeder10,,, 12/08/2021 10:07:25,
01103FD963,1, 12/08/2021 10:07:27,Feeder10,,, 12/08/2021 10:07:27,
01103FD963,1, 12/08/2021 10:07:29,Feeder10,,, 12/08/2021 10:07:29,
01103FD963,1, 12/08/2021 10:07:31,Feeder10,,, 12/08/2021 10:07:31,
01103FD963,1, 12/08/2021 10:07:33,Feeder10,,, 12/08/2021 10:07:33,
01103FD963,1, 12/08/2021 10:07:35,Feeder10,,, 12/08/2021 10:07:35,
01103FD963,1, 12/08/2021 10:07:37,Feeder10,,, 12/08/2021 10:07:37,
01103FD963,1, 12/08/2021 10:07:39,Feeder10,,, 12/08/2021 10:07:39,
01103FD963,1, 12/08/2021 10:07:41,Feeder10,,, 12/08/2021 10:07:41,
01103FD963,1, 12/08/2021 10:07:43,Feeder10,,, 12/08/2021 10:07:43,
01103FD963,1, 12/08/2021 10:07:45,Feeder10,,, 12/08/2021 10:07:45,
01103FD963,1, 12/08/2021 10:07:47,Feeder10,,, 12/08/2021 10:07:47,
01103FD963,1, 12/08/2021 10:07:49,Feeder10,,, 12/08/2021 10:07:49,
01103FD963,1, 12/08/2021 10:07:51,Feeder10,,, 12/08/2021 10:07:51,
01103FD963,1, 12/08/2021 10:07:53,Feeder10,,, 12/08/2021 10:07:53,
01103FD963,1, 12/08/2021 10:07:55,Feeder10,,, 12/08/2021 10:07:55,
01103FD963,1, 12/08/2021 10:07:57,Feeder10,,, 12/08/2021 10:07:57,
011016AE6C,1, 12/08/2021 11:21:43,Feeder10,,, 12/08/2021 11:21:43,
01103FD963,1, 12/08/2021 11:27:59,Feeder10,,, 12/08/2021 11:27:59,
01103FD963,1, 12/08/2021 11:28:00,Feeder10,,, 12/08/2021 11:28:00,
01103FD963,1, 12/08/2021 11:30:05,Feeder10,,, 12/08/2021 11:30:05,
01103FD963,1, 12/08/2021 11:30:07,Feeder10,,, 12/08/2021 11:30:07,
01103FD963,1, 12/08/2021 11:36:14,Feeder10,,, 12/08/2021 11:36:14,
01103FD963,1, 12/08/2021 11:36:41,Feeder10,,, 12/08/2021 11:36:41,
01103FD963,1, 12/08/2021 11:37:39,Feeder10,,, 12/08/2021 11:37:39,
01103FD963,1, 12/08/2021 11:37:41,Feeder10,,, 12/08/2021 11:37:41,
01103FD963,1, 12/08/2021 11:37:43,Feeder10,,, 12/08/2021 11:37:43,
01103FD963,1, 12/08/2021 11:37:45,Feeder10,,, 12/08/2021 11:37:45,
