RFID,Antenna,DateTime,TrimmedDateTime,Feeder,TestRFID_DateTime,Time_diff,Corrected_DateTime,Note
011016F118,1, 12/04/2021 09:31:16,12/4/21 9:31,Feeder09,,12:00:00 AM,12/4/21 9:31:16,
011016F118,1, 12/04/2021 09:31:55,12/4/21 9:31,Feeder09,,12:00:00 AM,12/4/21 9:31:55,
011016F118,1, 12/05/2021 10:22:38,12/5/21 10:22,Feeder09,,12:00:00 AM,12/5/21 10:22:38,
011016F118,2, 12/05/2021 10:22:40,12/5/21 10:22,Feeder09,,12:00:00 AM,12/5/21 10:22:40,
011016F118,1, 12/05/2021 10:40:37,12/5/21 10:40,Feeder09,,12:00:00 AM,12/5/21 10:40:37,no start time posted
011016F118,1, 12/05/2021 10:40:39,12/5/21 10:40,Feeder09,,12:00:00 AM,12/5/21 10:40:39,seems to match up around time other feeders were set up
0110171AF0,1, 12/06/2021 10:04:58,12/6/21 10:04,Feeder09,,12:00:00 AM,12/6/21 10:04:58,"data goes bad at 12/13, should be fixed"
0110171AF0,2, 12/06/2021 10:04:58,12/6/21 10:04,Feeder09,,12:00:00 AM,12/6/21 10:04:58,
0110171AF0,1, 12/06/2021 10:04:59,12/6/21 10:04,Feeder09,,12:00:00 AM,12/6/21 10:04:59,
01103FE7B4,1, 12/06/2021 10:05:42,12/6/21 10:05,Feeder09,,12:00:00 AM,12/6/21 10:05:42,
01103FE7B4,1, 12/06/2021 10:05:44,12/6/21 10:05,Feeder09,,12:00:00 AM,12/6/21 10:05:44,
0110171AF0,1, 12/06/2021 10:06:20,12/6/21 10:06,Feeder09,,12:00:00 AM,12/6/21 10:06:20,
0110171AF0,1, 12/06/2021 10:11:50,12/6/21 10:11,Feeder09,,12:00:00 AM,12/6/21 10:11:50,
0110171AF0,1, 12/06/2021 10:13:26,12/6/21 10:13,Feeder09,,12:00:00 AM,12/6/21 10:13:26,
0110171AF0,1, 12/06/2021 10:13:28,12/6/21 10:13,Feeder09,,12:00:00 AM,12/6/21 10:13:28,
0110171AF0,1, 12/06/2021 10:22:51,12/6/21 10:22,Feeder09,,12:00:00 AM,12/6/21 10:22:51,
0110171AF0,1, 12/06/2021 10:32:57,12/6/21 10:32,Feeder09,,12:00:00 AM,12/6/21 10:32:57,
0110170A55,2, 12/06/2021 10:32:58,12/6/21 10:32,Feeder09,,12:00:00 AM,12/6/21 10:32:58,
0110170A55,1, 12/06/2021 10:32:59,12/6/21 10:32,Feeder09,,12:00:00 AM,12/6/21 10:32:59,
0110170A55,2, 12/06/2021 10:32:59,12/6/21 10:32,Feeder09,,12:00:00 AM,12/6/21 10:32:59,
0110170A55,1, 12/06/2021 10:32:59,12/6/21 10:32,Feeder09,,12:00:00 AM,12/6/21 10:32:59,
